region,indicator,age_ce,rsl_m,rsl_se
New York,foraminifera,1580,-0.73,0.08
New York,foraminifera,1556,-0.96,0.23
New York,foraminifera,1543,-0.92,0.17
New York,foraminifera,1533,-0.89,0.17
New York,foraminifera,1518,-0.88,0.14
New York,foraminifera,1495,-1.04,0.21
New York,foraminifera,1472,-1.05,0.18
New York,foraminifera,1450,-1.08,0.16
New York,foraminifera,1430,-1.06,0.1
New York,foraminifera,1408,-1.05,0.17
New York,foraminifera,1387,-0.97,0.18
New York,foraminifera,1374,-1.11,0.14
New York,foraminifera,1363,-1.05,0.16
New York,foraminifera,1345,-1.22,0.11
New York,foraminifera,1294,-1.22,0.15
New York,foraminifera,1258,-1.18,0.15
New York,foraminifera,1219,-1.64,0.12
New York,foraminifera,1180,-1.55,0.14
New York,foraminifera,1142,-1.35,0.15
New York,foraminifera,1107,-1.26,0.1
New York,foraminifera,1067,-1.33,0.12
New York,foraminifera,1029,-1.44,0.09
Florida,foraminifera,1995,-0.07,0.07
Florida,foraminifera,1994,-0.09,0.07
Florida,foraminifera,1990,-0.16,0.07
Florida,foraminifera,1973,-0.17,0.07
Florida,foraminifera,1949,-0.22,0.07
Florida,foraminifera,1933,-0.22,0.07
Florida,foraminifera,1919,-0.27,0.08
Florida,foraminifera,1916,-0.28,0.07
Florida,foraminifera,1914,-0.3,0.07
Florida,foraminifera,1898,-0.26,0.07
Florida,foraminifera,1883,-0.32,0.08
Florida,foraminifera,1845,-0.37,0.07
Florida,foraminifera,1817,-0.39,0.08
Florida,foraminifera,1728,-0.46,0.07
Florida,foraminifera,1706,-0.48,0.07
Florida,foraminifera,1681,-0.48,0.06
Florida,foraminifera,1670,-0.53,0.07
Florida,foraminifera,1649,-0.5,0.07
Florida,foraminifera,1628,-0.55,0.07
Florida,foraminifera,1600,-0.56,0.07
Florida,foraminifera,1589,-0.56,0.07
Florida,foraminifera,1579,-0.54,0.07
Florida,foraminifera,1575,-0.54,0.07
Florida,foraminifera,1562,-0.55,0.06
Florida,foraminifera,1554,-0.62,0.06
Florida,foraminifera,1540,-0.6,0.06
Florida,foraminifera,1518,-0.6,0.07
Florida,foraminifera,1488,-0.66,0.06
Florida,foraminifera,1473,-0.66,0.07
Florida,foraminifera,1460,-0.64,0.07
Florida,foraminifera,1421,-0.7,0.07
Florida,foraminifera,1373,-0.71,0.07
Florida,foraminifera,1359,-0.74,0.07
Florida,foraminifera,1351,-0.74,0.07
Florida,foraminifera,1307,-0.74,0.07
Florida,foraminifera,1224,-0.77,0.07
Florida,foraminifera,1187,-0.77,0.07
Florida,foraminifera,1116,-0.8,0.07
Florida,foraminifera,1071,-0.77,0.07
Connecticut,foraminifera,2010,0.04,0.08
Connecticut,foraminifera,2007,0.04,0.08
Connecticut,foraminifera,2004,-0.04,0.08
Connecticut,foraminifera,2002,0.01,0.08
Connecticut,foraminifera,2000,-0.07,0.08
Connecticut,foraminifera,1997,-0.01,0.08
Connecticut,foraminifera,1994,-0.11,0.08
Connecticut,foraminifera,1990,-0.06,0.08
Connecticut,foraminifera,1986,-0.05,0.08
Connecticut,foraminifera,1980,-0.11,0.08
Connecticut,foraminifera,1976,-0.15,0.08
Connecticut,foraminifera,1969,-0.16,0.08
Connecticut,foraminifera,1964,-0.16,0.08
Connecticut,foraminifera,1958,-0.2,0.08
Connecticut,foraminifera,1954,-0.27,0.08
Connecticut,foraminifera,1950,-0.19,0.08
Connecticut,foraminifera,1945,-0.25,0.08
Connecticut,foraminifera,1935,-0.29,0.08
Connecticut,foraminifera,1925,-0.29,0.08
Connecticut,foraminifera,1907,-0.33,0.08
Connecticut,foraminifera,1888,-0.23,0.08
Connecticut,foraminifera,1868,-0.33,0.08
Connecticut,foraminifera,1848,-0.27,0.08
Connecticut,foraminifera,1824,-0.33,0.08
Connecticut,foraminifera,1801,-0.32,0.08
Connecticut,foraminifera,1792,-0.37,0.08
Connecticut,foraminifera,1787,-0.37,0.08
Connecticut,foraminifera,1782,-0.45,0.08
Connecticut,foraminifera,1775,-0.48,0.08
Connecticut,foraminifera,1769,-0.49,0.08
Connecticut,foraminifera,1762,-0.45,0.08
Connecticut,foraminifera,1755,-0.57,0.08
Connecticut,foraminifera,1748,-0.58,0.08
Connecticut,foraminifera,1741,-0.57,0.08
Connecticut,foraminifera,1732,-0.58,0.08
Connecticut,foraminifera,1722,-0.6,0.08
Connecticut,foraminifera,1711,-0.59,0.08
Connecticut,foraminifera,1699,-0.63,0.08
Connecticut,foraminifera,1688,-0.59,0.08
Connecticut,foraminifera,1676,-0.64,0.08
Connecticut,foraminifera,1662,-0.64,0.08
Connecticut,foraminifera,1647,-0.67,0.08
Connecticut,foraminifera,1632,-0.67,0.08
Connecticut,foraminifera,1616,-0.69,0.08
Connecticut,foraminifera,1599,-0.7,0.08
Connecticut,foraminifera,1583,-0.71,0.08
Connecticut,foraminifera,1566,-0.71,0.08
Connecticut,foraminifera,1553,-0.72,0.08
Florida,peat,1990,-0.15,0.23
Florida,peat,1983,-0.17,0.23
Florida,peat,1975,-0.19,0.23
Florida,peat,1966,-0.21,0.23
Florida,peat,1955,-0.23,0.23
Florida,peat,1897,-0.25,0.23
Florida,peat,1807,-0.27,0.23
Florida,peat,1719,-0.29,0.23
Florida,peat,1631,-0.3,0.23
Florida,peat,1543,-0.32,0.23
Florida,peat,1460,-0.34,0.23
Florida,peat,1432,-0.36,0.23
Florida,peat,1408,-0.38,0.23
Florida,peat,1384,-0.4,0.23
Florida,peat,1365,-0.42,0.23
Florida,peat,1350,-0.44,0.23
Florida,peat,1335,-0.46,0.23
Florida,peat,1320,-0.48,0.23
Florida,peat,1305,-0.5,0.23
Florida,peat,1257,-0.52,0.23
Florida,peat,1194,-0.54,0.23
Florida,peat,1131,-0.56,0.23
Florida,peat,1068,-0.58,0.23
Florida,peat,1006,-0.6,0.23
